,Tipo_Crime,UF,ano,ocorrencias,estado_ibge,Sigla_UF,populacao,admitidos/desligados,total_desempregados,taxa_ocorrencia,taxa_desemprego
217,Roubo de veículo,Espírito Santo,2012,2469.0,32,ES,3792870,Desligado,13282,65.09582453392814,350.18337037652225
218,Roubo de veículo,Espírito Santo,2013,532.586,32,ES,3839370,Desligado,14612,13.871702909591939,380.58327277652324
219,Roubo de veículo,Espírito Santo,2014,3336.0,32,ES,3885050,Desligado,12817,85.86762075134168,329.9056640197681
220,Lesão corporal seguida de morte,Espírito Santo,2010,12.0,32,ES,3697240,Desligado,14686,0.32456643333946406,397.2152200019474
221,Lesão corporal seguida de morte,Espírito Santo,2011,8.0,32,ES,3745580,Desligado,12668,0.21358507894638482,338.2119725116004
222,Lesão corporal seguida de morte,Espírito Santo,2012,15.0,32,ES,3792870,Desligado,13282,0.3954788853823094,350.18337037652225
223,Lesão corporal seguida de morte,Espírito Santo,2013,18.0,32,ES,3839370,Desligado,14612,0.46882691691605655,380.58327277652324
224,Lesão corporal seguida de morte,Espírito Santo,2014,25.0,32,ES,3885050,Desligado,12817,0.643492361745666,329.9056640197681
225,Homicídio doloso,Espírito Santo,2010,1714.0,32,ES,3697240,Desligado,14686,46.35890556198678,397.2152200019474
226,Homicídio doloso,Espírito Santo,2011,1845.0,32,ES,3745580,Desligado,12668,49.25805883200999,338.2119725116004
227,Homicídio doloso,Espírito Santo,2012,1660.0,32,ES,3792870,Desligado,13282,43.76632998230891,350.18337037652225
228,Homicídio doloso,Espírito Santo,2013,1564.0,32,ES,3839370,Desligado,14612,40.73584989203958,380.58327277652324
229,Homicídio doloso,Espírito Santo,2014,1529.0,32,ES,3885050,Desligado,12817,39.355992844364934,329.9056640197681
230,Furto de veículo,Espírito Santo,2010,3024.0,32,ES,3697240,Desligado,14686,81.79074120154495,397.2152200019474
231,Furto de veículo,Espírito Santo,2011,5045.0,32,ES,3745580,Desligado,12668,134.69209041056394,338.2119725116004
232,Furto de veículo,Espírito Santo,2012,3041.0,32,ES,3792870,Desligado,13282,80.17675269650687,350.18337037652225
233,Furto de veículo,Espírito Santo,2013,1569.426,32,ES,3839370,Desligado,14612,40.877175161549935,380.58327277652324
234,Furto de veículo,Espírito Santo,2014,3579.0,32,ES,3885050,Desligado,12817,92.12236650750955,329.9056640197681
