,Tipo_Crime,UF,ano,ocorrencias,estado_ibge,Sigla_UF,populacao,admitidos/desligados,total_desempregados,taxa_ocorrencia,taxa_desemprego
719,Crime contra a vida,Santa Catarina,2014,2675.0,42,SC,6727150,Desligado,28784,39.76423894219692,427.878076154092
724,Crime contra a vida,Sergipe,2014,46.0,28,SE,2219570,Desligado,5146,2.0724734971188115,231.84670904724788
729,Crime contra o patrimônio,Sergipe,2014,1778.0,28,SE,2219570,Desligado,5146,80.10560604080972,231.84670904724788
734,Crime contra a vida,Sergipe,2014,9.0,28,SE,2219570,Desligado,5146,0.405483945088463,231.84670904724788
739,Crime contra a vida,Sergipe,2014,999.0,28,SE,2219570,Desligado,5146,45.008717904819406,231.84670904724788
744,Crime contra o patrimônio,Sergipe,2014,637.0,28,SE,2219570,Desligado,5146,28.699252557927885,231.84670904724788
749,Crime contra a vida,Sergipe,2014,432.0,28,SE,2219570,Desligado,5146,19.463229364246228,231.84670904724788
754,Crime contra a vida,São Paulo,2014,372.0,35,SP,44035300,Desligado,217733,0.8447768040640122,494.45104268620855
759,Crime contra o patrimônio,São Paulo,2014,49126.37400000001,35,SP,44035300,Desligado,217733,111.56134737358441,494.45104268620855
764,Crime contra a vida,São Paulo,2014,,35,SP,44035300,Desligado,217733,,494.45104268620855
769,Crime contra a vida,São Paulo,2014,4294.0,35,SP,44035300,Desligado,217733,9.751267732932444,494.45104268620855
774,Crime contra o patrimônio,São Paulo,2014,72845.79699999999,35,SP,44035300,Desligado,217733,165.42591284719302,494.45104268620855
779,Crime contra a vida,São Paulo,2014,10029.0,35,SP,44035300,Desligado,217733,22.7749101289193,494.45104268620855
784,Crime contra a vida,Tocantins,2014,14.0,17,TO,1496880,Desligado,7720,0.9352787130564908,515.7394046282935
789,Crime contra o patrimônio,Tocantins,2014,474.0,17,TO,1496880,Desligado,7720,31.665864999198334,515.7394046282935
794,Crime contra a vida,Tocantins,2014,9.0,17,TO,1496880,Desligado,7720,0.6012506012506013,515.7394046282935
799,Crime contra a vida,Tocantins,2014,313.0,17,TO,1496880,Desligado,7720,20.91015979904869,515.7394046282935
804,Crime contra o patrimônio,Tocantins,2014,1421.0,17,TO,1496880,Desligado,7720,94.93078937523383,515.7394046282935
809,Crime contra a vida,Tocantins,2014,425.0,17,TO,1496880,Desligado,7720,28.392389503500613,515.7394046282935
